Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,calc_participation,Rep_total,Dem_total,Lib_total
Ashburn,Turner,3509.0,135.0,763.0,127.0,0.0,1025.0,293.0,677.0,246.0,1.0,1217.0,5.0,18.0,4.0,0.0,27.0,2269.0,64.7,1025.0,1217.0,27.0
Sycamore,Turner,1609.0,124.0,829.0,81.0,1.0,1035.0,28.0,94.0,26.0,0.0,148.0,1.0,2.0,1.0,0.0,4.0,1187.0,73.8,1035.0,148.0,4.0
Rebecca,Turner,464.0,118.0,146.0,25.0,0.0,289.0,11.0,17.0,17.0,0.0,45.0,0.0,2.0,0.0,0.0,2.0,336.0,72.4,289.0,45.0,2.0
Alto Park,Floyd,3360.0,327.0,1137.0,290.0,10.0,1764.0,95.0,326.0,253.0,5.0,679.0,5.0,15.0,11.0,0.0,31.0,2474.0,73.6,1764.0,679.0,31.0
Armuchee,Floyd,1269.0,283.0,398.0,108.0,2.0,791.0,34.0,75.0,46.0,0.0,155.0,3.0,2.0,1.0,0.0,6.0,952.0,75.0,791.0,155.0,6.0
Barkers,Floyd,2355.0,393.0,948.0,196.0,6.0,1543.0,38.0,102.0,83.0,0.0,223.0,5.0,9.0,1.0,0.0,15.0,1781.0,75.6,1543.0,223.0,15.0
Cave Spring,Floyd,1617.0,423.0,332.0,126.0,2.0,883.0,63.0,65.0,112.0,2.0,242.0,11.0,2.0,2.0,0.0,15.0,1140.0,70.5,883.0,242.0,15.0
Chulio,Floyd,1155.0,277.0,338.0,95.0,11.0,721.0,36.0,44.0,60.0,0.0,140.0,3.0,3.0,1.0,0.0,7.0,868.0,75.2,721.0,140.0,7.0
Etowah,Floyd,4946.0,599.0,1925.0,433.0,7.0,2964.0,89.0,408.0,295.0,3.0,795.0,9.0,14.0,14.0,0.0,37.0,3796.0,76.7,2964.0,795.0,37.0
Everett Springs,Floyd,421.0,175.0,74.0,26.0,5.0,280.0,26.0,9.0,20.0,0.0,55.0,2.0,0.0,0.0,0.0,2.0,337.0,80.0,280.0,55.0,2.0
Floyd Springs,Floyd,1666.0,408.0,582.0,143.0,21.0,1154.0,28.0,73.0,45.0,4.0,150.0,12.0,3.0,3.0,0.0,18.0,1322.0,79.4,1154.0,150.0,18.0
Fosters Mill,Floyd,971.0,278.0,284.0,68.0,1.0,631.0,16.0,35.0,32.0,0.0,83.0,10.0,0.0,0.0,0.0,10.0,724.0,74.6,631.0,83.0,10.0
Garden Lakes,Floyd,2261.0,215.0,622.0,188.0,4.0,1029.0,84.0,237.0,126.0,3.0,450.0,2.0,6.0,4.0,0.0,12.0,1491.0,65.9,1029.0,450.0,12.0
Glenwood,Floyd,3635.0,522.0,1045.0,254.0,2.0,1823.0,104.0,255.0,201.0,2.0,562.0,11.0,19.0,5.0,0.0,35.0,2420.0,66.6,1823.0,562.0,35.0
Howell,Floyd,1492.0,427.0,420.0,123.0,1.0,971.0,27.0,62.0,31.0,0.0,120.0,4.0,1.0,1.0,0.0,6.0,1097.0,73.5,971.0,120.0,6.0
East Lindale,Floyd,3398.0,437.0,1098.0,266.0,0.0,1801.0,90.0,292.0,181.0,2.0,565.0,19.0,14.0,5.0,0.0,38.0,2404.0,70.7,1801.0,565.0,38.0
Mt Alto North,Floyd,5096.0,234.0,1157.0,307.0,6.0,1704.0,259.0,762.0,443.0,12.0,1476.0,16.0,30.0,5.0,0.0,51.0,3231.0,63.4,1704.0,1476.0,51.0
Mt Alto South,Floyd,3923.0,298.0,876.0,246.0,6.0,1426.0,247.0,553.0,314.0,4.0,1118.0,10.0,20.0,4.0,0.0,34.0,2578.0,65.7,1426.0,1118.0,34.0
North Carolina,Floyd,1865.0,274.0,568.0,133.0,2.0,977.0,40.0,110.0,64.0,2.0,216.0,3.0,4.0,1.0,0.0,8.0,1201.0,64.4,977.0,216.0,8.0
Riverside,Floyd,826.0,148.0,208.0,45.0,4.0,405.0,43.0,74.0,29.0,0.0,146.0,3.0,6.0,1.0,0.0,10.0,561.0,67.9,405.0,146.0,10.0
East Rome,Floyd,4238.0,267.0,785.0,249.0,2.0,1303.0,181.0,705.0,394.0,2.0,1282.0,14.0,21.0,13.0,0.0,48.0,2633.0,62.1,1303.0,1282.0,48.0
North Rome,Floyd,3369.0,145.0,654.0,287.0,2.0,1088.0,157.0,462.0,413.0,5.0,1037.0,12.0,6.0,3.0,0.0,21.0,2146.0,63.7,1088.0,1037.0,21.0
South Rome,Floyd,1600.0,45.0,118.0,40.0,1.0,204.0,152.0,272.0,210.0,4.0,638.0,5.0,4.0,3.0,0.0,12.0,854.0,53.4,204.0,638.0,12.0
Texas Valley,Floyd,762.0,258.0,216.0,59.0,8.0,541.0,22.0,31.0,34.0,0.0,87.0,4.0,2.0,0.0,0.0,6.0,634.0,83.2,541.0,87.0,6.0
Vanns Valley,Floyd,896.0,149.0,198.0,86.0,3.0,436.0,31.0,53.0,23.0,0.0,107.0,1.0,3.0,1.0,0.0,5.0,548.0,61.2,436.0,107.0,5.0
Watters,Floyd,3566.0,654.0,1198.0,280.0,6.0,2138.0,79.0,182.0,130.0,6.0,397.0,15.0,6.0,5.0,0.0,26.0,2561.0,71.8,2138.0,397.0,26.0
West Lindale,Floyd,2929.0,491.0,821.0,199.0,0.0,1511.0,82.0,183.0,137.0,0.0,402.0,9.0,11.0,6.0,0.0,26.0,1939.0,66.2,1511.0,402.0,26.0
Town Rome,Floyd,3034.0,170.0,676.0,189.0,0.0,1035.0,131.0,450.0,300.0,2.0,883.0,11.0,19.0,8.0,0.0,38.0,1956.0,64.5,1035.0,883.0,38.0
Ellijay South,Gilmer,3172.0,368.0,1091.0,302.0,2.0,1763.0,54.0,207.0,243.0,0.0,504.0,4.0,7.0,4.0,0.0,15.0,2282.0,71.9,1763.0,504.0,15.0
Cartecay,Gilmer,1598.0,409.0,472.0,172.0,2.0,1055.0,23.0,61.0,86.0,0.0,170.0,4.0,5.0,1.0,0.0,10.0,1235.0,77.3,1055.0,170.0,10.0
Tails Creek,Gilmer,1782.0,442.0,461.0,133.0,0.0,1036.0,50.0,64.0,50.0,0.0,164.0,8.0,4.0,1.0,0.0,13.0,1213.0,68.1,1036.0,164.0,13.0
Town Creek,Gilmer,1234.0,308.0,326.0,92.0,0.0,726.0,36.0,30.0,53.0,0.0,119.0,5.0,5.0,2.0,0.0,12.0,857.0,69.4,726.0,119.0,12.0
Leaches,Gilmer,2939.0,532.0,910.0,303.0,3.0,1748.0,47.0,179.0,166.0,0.0,392.0,17.0,6.0,4.0,0.0,27.0,2167.0,73.7,1748.0,392.0,27.0
Cherry Log,Gilmer,926.0,248.0,210.0,98.0,0.0,556.0,42.0,64.0,65.0,0.0,171.0,5.0,0.0,1.0,0.0,6.0,733.0,79.2,556.0,171.0,6.0
Boardtown,Gilmer,1391.0,295.0,481.0,158.0,3.0,937.0,33.0,70.0,118.0,0.0,221.0,3.0,2.0,3.0,1.0,9.0,1167.0,83.9,937.0,221.0,9.0
Mountaintown,Gilmer,1139.0,263.0,342.0,109.0,1.0,715.0,29.0,63.0,44.0,0.0,136.0,4.0,2.0,3.0,0.0,9.0,860.0,75.5,715.0,136.0,9.0
East Ellijay,Gilmer,1655.0,230.0,593.0,190.0,0.0,1013.0,43.0,108.0,76.0,0.0,227.0,0.0,7.0,2.0,0.0,9.0,1249.0,75.5,1013.0,227.0,9.0
Ellijay North,Gilmer,1810.0,294.0,571.0,184.0,1.0,1050.0,26.0,119.0,70.0,0.0,215.0,2.0,10.0,5.0,0.0,17.0,1282.0,70.8,1050.0,215.0,17.0
Yukon,Gilmer,1288.0,359.0,345.0,107.0,0.0,811.0,31.0,46.0,61.0,0.0,138.0,2.0,3.0,2.0,0.0,7.0,956.0,74.2,811.0,138.0,7.0
Big Creek,Gilmer,1479.0,374.0,396.0,147.0,0.0,917.0,27.0,66.0,112.0,0.0,205.0,5.0,7.0,4.0,0.0,16.0,1138.0,76.9,917.0,205.0,16.0
Ellijay Northeast,Gilmer,1851.0,249.0,665.0,188.0,0.0,1102.0,12.0,132.0,126.0,0.0,270.0,5.0,6.0,3.0,0.0,14.0,1386.0,74.9,1102.0,270.0,14.0
Gray,Jones,0.0,250.0,1115.0,210.0,0.0,1575.0,47.0,288.0,176.0,0.0,511.0,5.0,7.0,3.0,0.0,15.0,2101.0,,1575.0,511.0,15.0
Hawkins,Jones,0.0,253.0,500.0,115.0,0.0,868.0,194.0,674.0,509.0,0.0,1377.0,4.0,9.0,6.0,0.0,19.0,2264.0,,868.0,1377.0,19.0
Ethridge,Jones,0.0,175.0,533.0,115.0,0.0,823.0,77.0,217.0,148.0,0.0,442.0,4.0,4.0,1.0,0.0,9.0,1274.0,,823.0,442.0,9.0
Clinton,Jones,0.0,292.0,850.0,173.0,1.0,1316.0,62.0,247.0,158.0,1.0,468.0,4.0,5.0,2.0,0.0,11.0,1795.0,,1316.0,468.0,11.0
Roberts,Jones,0.0,449.0,581.0,174.0,0.0,1204.0,129.0,284.0,191.0,0.0,604.0,5.0,5.0,3.0,1.0,14.0,1822.0,,1204.0,604.0,14.0
Davidson,Jones,0.0,363.0,494.0,102.0,1.0,960.0,42.0,90.0,58.0,0.0,190.0,4.0,3.0,0.0,0.0,7.0,1157.0,,960.0,190.0,7.0
Pope,Jones,0.0,307.0,515.0,98.0,1.0,921.0,119.0,192.0,133.0,1.0,445.0,6.0,2.0,0.0,0.0,8.0,1374.0,,921.0,445.0,8.0
Barron,Jones,0.0,274.0,374.0,94.0,0.0,742.0,65.0,116.0,95.0,0.0,276.0,2.0,1.0,2.0,0.0,5.0,1023.0,,742.0,276.0,5.0
Sanders,Jones,0.0,91.0,13.0,11.0,0.0,115.0,18.0,5.0,7.0,0.0,30.0,1.0,0.0,0.0,0.0,1.0,146.0,,115.0,30.0,1.0
Finney,Jones,0.0,569.0,691.0,180.0,1.0,1441.0,88.0,243.0,214.0,0.0,545.0,12.0,11.0,1.0,0.0,24.0,2010.0,,1441.0,545.0,24.0
Concord,Pike,0.0,281.0,524.0,76.0,0.0,881.0,62.0,96.0,87.0,1.0,246.0,1.0,4.0,1.0,0.0,6.0,1133.0,,881.0,246.0,6.0
Hollonville,Pike,0.0,349.0,796.0,132.0,0.0,1277.0,16.0,48.0,49.0,0.0,113.0,0.0,5.0,3.0,0.0,8.0,1398.0,,1277.0,113.0,8.0
Meansville,Pike,0.0,279.0,548.0,80.0,0.0,907.0,29.0,52.0,22.0,0.0,103.0,4.0,4.0,0.0,0.0,8.0,1018.0,,907.0,103.0,8.0
Molena,Pike,0.0,347.0,538.0,93.0,2.0,980.0,54.0,73.0,53.0,1.0,181.0,5.0,2.0,4.0,0.0,11.0,1172.0,,980.0,181.0,11.0
Second District,Pike,0.0,367.0,1231.0,200.0,1.0,1799.0,43.0,118.0,82.0,0.0,243.0,4.0,9.0,0.0,0.0,13.0,2055.0,,1799.0,243.0,13.0
Lifsey Springs,Pike,0.0,207.0,476.0,88.0,0.0,771.0,20.0,40.0,44.0,0.0,104.0,2.0,4.0,1.0,0.0,7.0,882.0,,771.0,104.0,7.0
Williamson,Pike,0.0,291.0,836.0,117.0,0.0,1244.0,30.0,79.0,51.0,0.0,160.0,5.0,6.0,5.0,0.0,16.0,1420.0,,1244.0,160.0,16.0
Zebulon,Pike,0.0,220.0,915.0,133.0,0.0,1268.0,31.0,189.0,135.0,0.0,355.0,6.0,7.0,6.0,0.0,19.0,1642.0,,1268.0,355.0,19.0
Odum,Wayne,1260.0,310.0,510.0,86.0,0.0,906.0,14.0,37.0,38.0,0.0,89.0,0.0,2.0,0.0,0.0,2.0,997.0,79.1,906.0,89.0,2.0
Madray Springs,Wayne,1176.0,180.0,538.0,127.0,0.0,845.0,10.0,28.0,25.0,1.0,64.0,1.0,1.0,1.0,0.0,3.0,912.0,77.6,845.0,64.0,3.0
Oglethorpe,Wayne,1741.0,232.0,720.0,140.0,0.0,1092.0,23.0,86.0,59.0,0.0,168.0,3.0,7.0,0.0,0.0,10.0,1270.0,72.9,1092.0,168.0,10.0
Screven,Wayne,1849.0,462.0,600.0,126.0,2.0,1190.0,58.0,86.0,51.0,0.0,195.0,3.0,3.0,1.0,0.0,7.0,1392.0,75.3,1190.0,195.0,7.0
Empire,Wayne,1106.0,189.0,516.0,90.0,0.0,795.0,15.0,37.0,21.0,0.0,73.0,0.0,7.0,2.0,0.0,9.0,877.0,79.3,795.0,73.0,9.0
Red Hill,Wayne,1036.0,131.0,355.0,79.0,0.0,565.0,19.0,71.0,40.0,0.0,130.0,6.0,2.0,0.0,0.0,8.0,703.0,67.9,565.0,130.0,8.0
Altamaha,Wayne,2857.0,225.0,972.0,179.0,3.0,1379.0,70.0,236.0,102.0,0.0,408.0,6.0,4.0,0.0,0.0,10.0,1797.0,62.9,1379.0,408.0,10.0
Gardi,Wayne,1123.0,291.0,334.0,110.0,2.0,737.0,19.0,30.0,29.0,0.0,78.0,1.0,2.0,2.0,0.0,5.0,820.0,73.0,737.0,78.0,5.0
VFW,Wayne,1145.0,22.0,99.0,35.0,0.0,156.0,77.0,290.0,132.0,1.0,500.0,3.0,3.0,1.0,0.0,7.0,663.0,57.9,156.0,500.0,7.0
Pine Street,Wayne,1140.0,62.0,259.0,74.0,0.0,395.0,66.0,208.0,63.0,0.0,337.0,1.0,4.0,3.0,0.0,8.0,740.0,64.9,395.0,337.0,8.0
Unity,Wayne,1905.0,184.0,613.0,170.0,0.0,967.0,56.0,200.0,107.0,0.0,363.0,3.0,10.0,5.0,0.0,18.0,1348.0,70.8,967.0,363.0,18.0
Rec Center,Wayne,1766.0,207.0,615.0,138.0,0.0,960.0,33.0,180.0,69.0,0.0,282.0,8.0,8.0,1.0,0.0,17.0,1259.0,71.3,960.0,282.0,17.0
01A,Fulton,3694.0,41.0,145.0,56.0,5.0,247.0,160.0,1662.0,737.0,20.0,2579.0,3.0,11.0,10.0,1.0,25.0,2851.0,77.2,247.0,2579.0,25.0
01B,Fulton,4327.0,79.0,159.0,62.0,1.0,301.0,242.0,1842.0,895.0,5.0,2984.0,11.0,16.0,15.0,0.0,42.0,3327.0,76.9,301.0,2984.0,42.0
01C,Fulton,1908.0,21.0,20.0,8.0,0.0,49.0,180.0,372.0,165.0,0.0,717.0,4.0,6.0,3.0,0.0,13.0,779.0,40.8,49.0,717.0,13.0
01D,Fulton,754.0,7.0,13.0,13.0,1.0,34.0,24.0,284.0,123.0,4.0,435.0,0.0,2.0,1.0,0.0,3.0,472.0,62.6,34.0,435.0,3.0
01E,Fulton,3720.0,40.0,167.0,79.0,1.0,287.0,101.0,1559.0,775.0,0.0,2435.0,7.0,19.0,11.0,0.0,37.0,2759.0,74.2,287.0,2435.0,37.0
01F,Fulton,1593.0,14.0,13.0,6.0,1.0,34.0,110.0,256.0,108.0,7.0,481.0,2.0,4.0,0.0,0.0,6.0,521.0,32.7,34.0,481.0,6.0
01G,Fulton,2312.0,15.0,55.0,15.0,2.0,87.0,131.0,730.0,295.0,3.0,1159.0,2.0,12.0,3.0,0.0,17.0,1263.0,54.6,87.0,1159.0,17.0
01H,Fulton,896.0,6.0,7.0,3.0,0.0,16.0,64.0,212.0,122.0,7.0,405.0,1.0,0.0,3.0,0.0,4.0,425.0,47.4,16.0,405.0,4.0
01I,Fulton,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0
01J,Fulton,2848.0,17.0,42.0,12.0,1.0,72.0,217.0,720.0,333.0,17.0,1287.0,3.0,9.0,6.0,0.0,18.0,1377.0,48.3,72.0,1287.0,18.0
01P,Fulton,1444.0,16.0,7.0,4.0,1.0,28.0,208.0,220.0,171.0,4.0,603.0,3.0,2.0,2.0,0.0,7.0,638.0,44.2,28.0,603.0,7.0
