,Precinct,County,Registered Voters,Greg Morris (I) (Rep)_Election Day Votes,Greg Morris (I) (Rep)_Advanced Voting Votes,Greg Morris (I) (Rep)_Absentee by Mail Votes,Greg Morris (I) (Rep)_Provisional Votes,Greg Morris (I) (Rep)_Choice Total,Total,calc_participation
10,1C,Appling,848.0,174.0,347.0,71.0,2.0,594.0,594.0,70.0
15,5B,Appling,1126.0,210.0,419.0,114.0,3.0,746.0,746.0,66.3
14,5A,Appling,1147.0,147.0,463.0,111.0,3.0,724.0,724.0,63.1
13,3C,Appling,1566.0,115.0,545.0,127.0,0.0,787.0,787.0,50.3
12,3A1,Appling,793.0,223.0,283.0,56.0,0.0,562.0,562.0,70.9
11,2,Appling,2251.0,221.0,501.0,179.0,2.0,903.0,903.0,40.1
9,1B,Appling,1309.0,246.0,495.0,135.0,0.0,876.0,876.0,66.9
7,Altamaha 1,Jeff Davis,703.0,93.0,330.0,48.0,0.0,471.0,471.0,67.0
8,Altamaha 2,Jeff Davis,1249.0,323.0,485.0,80.0,0.0,888.0,888.0,71.1
0,Ailey,Montgomery,431.0,80.0,171.0,39.0,0.0,290.0,290.0,67.3
5,Tarrytown,Montgomery,333.0,113.0,92.0,26.0,0.0,231.0,231.0,69.4
4,Mount Vernon,Montgomery,1444.0,213.0,417.0,134.0,0.0,764.0,764.0,52.9
3,Kibbee,Montgomery,532.0,162.0,148.0,60.0,0.0,370.0,370.0,69.5
2,Higgston,Montgomery,1340.0,294.0,473.0,114.0,0.0,881.0,881.0,65.7
1,Alston,Montgomery,472.0,142.0,158.0,37.0,0.0,337.0,337.0,71.4
6,Uvalda,Montgomery,911.0,228.0,225.0,68.0,0.0,521.0,521.0,57.2
19,513 VPD,Toombs,0.0,626.0,2008.0,654.0,4.0,3292.0,3292.0,
16,15361 Lyons,Toombs,0.0,388.0,1213.0,334.0,0.0,1935.0,1935.0,
17,39 Newbranch,Toombs,0.0,327.0,505.0,131.0,0.0,963.0,963.0,
18,43 Cedar Crossing,Toombs,0.0,354.0,446.0,114.0,0.0,914.0,914.0,
20,514 STIALC,Toombs,0.0,420.0,1229.0,395.0,3.0,2047.0,2047.0,
