,Precinct,County,Registered Voters,Pam Stephenson (I) (Dem)_Election Day Votes,Pam Stephenson (I) (Dem)_Advanced Voting Votes,Pam Stephenson (I) (Dem)_Absentee by Mail Votes,Pam Stephenson (I) (Dem)_Provisional Votes,Pam Stephenson (I) (Dem)_Choice Total,Total,calc_participation
6,Browns Mill Elem,DeKalb,3829.0,314.0,1461.0,872.0,3.0,2650.0,2650.0,69.2
7,Bethune Middle,DeKalb,4838.0,335.0,1365.0,971.0,10.0,2681.0,2681.0,55.4
8,Canby Lane Elem,DeKalb,2004.0,218.0,535.0,435.0,3.0,1191.0,1191.0,59.4
9,Kelley Chapel Road,DeKalb,1337.0,123.0,463.0,319.0,1.0,906.0,906.0,67.8
10,Miller Grove Road,DeKalb,2151.0,184.0,739.0,500.0,1.0,1424.0,1424.0,66.2
11,Rainbow Elem,DeKalb,3768.0,263.0,1190.0,836.0,5.0,2294.0,2294.0,60.9
12,Salem Middle,DeKalb,3519.0,220.0,1382.0,819.0,3.0,2424.0,2424.0,68.9
13,Snapfinger Road S,DeKalb,1960.0,156.0,716.0,433.0,0.0,1305.0,1305.0,66.6
14,Wesley Chapel Library,DeKalb,2922.0,196.0,1098.0,704.0,5.0,2003.0,2003.0,68.5
1,Stockbridge East-West,Henry,6541.0,103.0,330.0,139.0,1.0,573.0,573.0,8.8
2,Cotton Indian,Henry,4785.0,290.0,1648.0,538.0,0.0,2476.0,2476.0,51.7
3,Pleasant Grove,Henry,4135.0,190.0,1390.0,544.0,3.0,2127.0,2127.0,51.4
4,Austin Road,Henry,3374.0,171.0,1368.0,472.0,2.0,2013.0,2013.0,59.7
5,Swan Lake,Henry,3642.0,89.0,431.0,161.0,0.0,681.0,681.0,18.7
0,LO,Rockdale,3943.0,371.0,1218.0,664.0,0.0,2253.0,2253.0,57.1
